SK_ID_CURR,TARGET_x,CNT_CHILDREN_x,AMT_INCOME_TOTAL_x,AMT_CREDIT_x,AMT_ANNUITY_x,AMT_GOODS_PRICE_x,DAYS_BIRTH_x,DAYS_EMPLOYED_x,NAME_CONTRACT_TYPE_x,AGE_YEARS,DAYS_EMPLOYED_CLIP,YEARS_EMPLOYED,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,GOODS_CREDIT_DIFF,UNREALISTIC_AGE,NEGATIVE_INCOME,iso_anomaly,iso_score,kmeans_label,kmeans_anomaly,anomaly_score,Alert,TARGET_y,NAME_CONTRACT_TYPE_y,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN_y,AMT_INCOME_TOTAL_y,AMT_CREDIT_y,AMT_ANNUITY_y,AMT_GOODS_PRICE_y,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH_y,DAYS_EMPLOYED_y,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100071,0,0,180000.0,1663987.5,86989.5,1588500.0,-20121,-2446,Cash loans,55,-2446.0,-6.701369863013698,9.244375,0.483275,-75487.5,0,0,1,-0.009240983098392386,1,0,1,Suspicious,0,Cash loans,F,N,Y,0,180000.0,1663987.5,86989.5,1588500.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018801,-20121,-2446,-6755,-2177,,1,1,0,1,0,0,Accountants,2,2,2,MONDAY,12,0,0,0,0,0,0,Industry: type 11,,0.570666356379991,0.697146907784445,0.0876,0.0496,0.9841,0.7824,0.0096,0.04,0.0345,0.4583,0.5,0.0208,0.0698,0.0767,0.0077,0.021,0.0893,0.0515,0.9841,0.7909,0.0097,0.0403,0.0345,0.4583,0.5,0.0213,0.0762,0.0799,0.0078,0.0222,0.0885,0.0496,0.9841,0.7853,0.0097,0.04,0.0345,0.4583,0.5,0.0212,0.071,0.0781,0.0078,0.0214,reg oper spec account,block of flats,0.0701,"Stone, brick",No,0.0,0.0,0.0,0.0,-1572,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,1.0
100219,0,1,315000.0,2250000.0,83515.5,2250000.0,-11177,-1514,Cash loans,30,-1514.0,-4.147945205479452,7.142857142857143,0.26512857142857144,0.0,0,0,1,-0.043681116956225674,1,0,1,Suspicious,0,Cash loans,M,N,Y,1,315000.0,2250000.0,83515.5,2250000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.032561,-11177,-1514,-64,-2793,,1,1,0,1,0,1,Core staff,3,1,1,FRIDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.380091834267874,0.693357925167894,,0.4753,0.0694,0.995,,,0.52,0.1724,0.9583,,0.1213,,0.6651,,0.3558,0.4842,0.072,0.995,,,0.5236,0.1724,0.9583,,0.1241,,0.693,,0.3767,0.4799,0.0694,0.995,,,0.52,0.1724,0.9583,,0.1234,,0.6771,,0.3633,,block of flats,0.6216,Monolithic,No,0.0,0.0,0.0,0.0,-926,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
100273,1,0,157500.0,1710000.0,66262.5,1710000.0,-23127,-9274,Cash loans,63,-9274.0,-25.40821917808219,10.857142857142858,0.4207142857142857,0.0,0,0,1,-0.047135148770255486,1,0,1,Suspicious,1,Cash loans,F,N,Y,0,157500.0,1710000.0,66262.5,1710000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.004849,-23127,-9274,-817,-4173,,1,1,0,1,0,0,Medicine staff,2,2,2,WEDNESDAY,10,0,0,0,0,0,0,Other,,0.126332062691572,,0.033,,0.9757,,,,,,,,,,,,0.0336,,0.9757,,,,,,,,,,,,0.0333,,0.9757,,,,,,,,,,,,,block of flats,0.0195,"Stone, brick",No,0.0,0.0,0.0,0.0,-1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100366,0,0,765000.0,1350000.0,67500.0,1350000.0,-11788,-3144,Revolving loans,32,-3144.0,-8.613698630136986,1.7647058823529411,0.08823529411764706,0.0,0,0,1,-0.004179798683445646,1,0,1,Suspicious,0,Revolving loans,M,Y,Y,0,765000.0,1350000.0,67500.0,1350000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.002506,-11788,-3144,-5643,-3962,3.0,1,1,0,1,0,0,Managers,1,2,2,THURSDAY,7,0,0,0,1,1,0,Business Entity Type 3,0.421764830703787,0.765981047371396,0.511891801533151,0.033,0.0374,0.9831,0.7688,0.0093,0.0,0.069,0.125,0.1667,0.0087,0.0269,0.0327,0.0,0.0252,0.0336,0.0388,0.9831,0.7779,0.0094,0.0,0.069,0.125,0.1667,0.0089,0.0294,0.0341,0.0,0.0266,0.0333,0.0374,0.9831,0.7719,0.0094,0.0,0.069,0.125,0.1667,0.0088,0.0274,0.0333,0.0,0.0257,reg oper account,,0.0336,Block,No,1.0,0.0,0.0,0.0,-151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100393,0,2,405000.0,2250000.0,59485.5,2250000.0,-14966,-6158,Cash loans,41,-6158.0,-16.87123287671233,5.555555555555555,0.14687777777777777,0.0,0,0,1,-0.05977213050635133,1,0,1,Suspicious,0,Cash loans,M,Y,Y,2,405000.0,2250000.0,59485.5,2250000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.007114,-14966,-6158,-954,-4979,6.0,1,1,0,1,1,0,Core staff,4,2,2,FRIDAY,13,0,0,0,0,0,0,Police,,0.682320067117901,0.6925590674998,0.1763,0.1337,0.9886,0.8436,,0.2,0.1724,0.3333,0.375,0.0959,,0.1918,,0.0405,0.1796,0.1388,0.9886,0.8497,,0.2014,0.1724,0.3333,0.375,0.098,,0.1999,,0.0429,0.178,0.1337,0.9886,0.8457,,0.2,0.1724,0.3333,0.375,0.0975,,0.1953,,0.0413,,block of flats,0.1597,Panel,No,0.0,0.0,0.0,0.0,-1014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100454,0,3,607500.0,1350000.0,67500.0,1350000.0,-13530,-3269,Revolving loans,37,-3269.0,-8.956164383561644,2.2222222222222223,0.1111111111111111,0.0,0,0,1,-0.029856074410305133,1,0,1,Suspicious,0,Revolving loans,M,Y,Y,3,607500.0,1350000.0,67500.0,1350000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.032561,-13530,-3269,-987,-4360,2.0,1,1,0,1,0,0,Managers,5,1,1,THURSDAY,10,0,0,0,0,0,0,Other,,0.623473473370634,,0.0608,0.0639,0.9503,0.32,0.0168,0.16,0.1379,0.2083,0.25,0.0622,0.0488,0.0886,0.0077,0.0253,0.0609,0.0663,0.9503,0.3466,0.0169,0.1611,0.1379,0.2083,0.25,0.0636,0.0533,0.0923,0.0078,0.0268,0.0614,0.0639,0.9503,0.3291,0.0169,0.16,0.1379,0.2083,0.25,0.0633,0.0496,0.0902,0.0078,0.0258,reg oper account,block of flats,0.0843,"Stone, brick",No,0.0,0.0,0.0,0.0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100559,0,0,450000.0,2286211.5,116266.5,2182500.0,-20589,-13994,Cash loans,56,-13994.0,-38.33972602739726,5.08047,0.25837,-103711.5,0,0,1,-0.11266173523983081,1,0,1,Suspicious,0,Cash loans,F,Y,Y,0,450000.0,2286211.5,116266.5,2182500.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.01885,-20589,-13994,-5893,-4106,7.0,1,1,0,1,0,0,Core staff,2,2,2,MONDAY,16,0,0,0,0,0,0,Security Ministries,,0.503265573770721,,0.1485,0.0861,0.9816,0.7484,0.0336,0.16,0.1379,0.3333,0.375,0.0893,0.121,0.1553,0.0,0.0,0.1513,0.0894,0.9816,0.7583,0.0339,0.1611,0.1379,0.3333,0.375,0.0913,0.1322,0.1618,0.0,0.0,0.1499,0.0861,0.9816,0.7518,0.0338,0.16,0.1379,0.3333,0.375,0.0909,0.1231,0.1581,0.0,0.0,reg oper spec account,block of flats,0.1405,Panel,No,1.0,0.0,1.0,0.0,-2675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100771,0,1,288000.0,1971072.0,68643.0,1800000.0,-17087,-5171,Cash loans,46,-5171.0,-14.167123287671233,6.844,0.23834375,-171072.0,0,0,1,-0.0102527268373791,1,0,1,Suspicious,0,Cash loans,M,N,Y,1,288000.0,1971072.0,68643.0,1800000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.020246,-17087,-5171,-1166,-518,,1,1,0,1,1,1,Managers,3,3,3,TUESDAY,9,0,0,0,0,0,0,Industry: type 9,0.510542374394934,0.419167652338557,0.413596760264427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1919,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
100784,1,0,54000.0,1885500.0,74191.5,1885500.0,-22181,365243,Cash loans,60,,-4.413698630136986,34.916666666666664,1.3739166666666667,0.0,0,0,1,-0.0777564202797768,1,0,1,Suspicious,1,Cash loans,F,N,Y,0,54000.0,1885500.0,74191.5,1885500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.031329,-22181,365243,-14266,-4714,,1,0,0,1,0,0,,2,2,2,MONDAY,10,0,0,0,0,0,0,XNA,,0.623843014103493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066,,No,6.0,0.0,6.0,0.0,-1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100999,0,0,450000.0,2125953.0,81108.0,1984500.0,-10121,-1354,Cash loans,27,-1354.0,-3.7095890410958905,4.72434,0.18024,-141453.0,0,0,1,-0.014708198860378885,1,0,1,Suspicious,0,Cash loans,M,Y,N,0,450000.0,2125953.0,81108.0,1984500.0,Unaccompanied,Commercial associate,Higher education,Single / not married,With parents,0.072508,-10121,-1354,-1393,-2672,2.0,1,1,0,1,1,0,High skill tech staff,1,1,1,FRIDAY,16,0,0,0,0,0,0,Business Entity Type 1,0.38633250460158,0.683096918976694,,0.1962,0.0974,0.9806,0.7348,0.046,0.32,0.1379,0.4583,0.5,0.0188,0.16,0.1721,0.0,0.0017,0.2006,0.0951,0.9806,0.7452,0.0464,0.3222,0.1379,0.4583,0.5,0.0188,0.1754,0.1788,0.0,0.0012,0.1988,0.0985,0.9806,0.7383,0.0463,0.32,0.1379,0.4583,0.5,0.0191,0.1633,0.1752,0.0,0.0012,reg oper account,block of flats,0.1356,Panel,No,0.0,0.0,0.0,0.0,-4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
